,Name,Walk Score,Population,area,geometry,Bus_perSqKm,Bus_perThouCap,Inter_perSqKm,Inter_perThouCap,Class
0,Allerton,88,59555,3.367416405258751,"POLYGON ((2153337.794640598 -113565.91814072449, 2153313.465298291 -113563.40807044008, 2153267.9312799703 -113582.23374805143, 2153239.521185048 -113600.05854956184, 2153167.9011528855 -113669.12017529772, 2153153.701083719 -113673.88164866946, 2153148.525947583 -113668.5044656608, 2153054.9893802437 -113248.22591365439, 2152969.883798405 -112927.06506733522, 2152706.9026515586 -112139.22166059903, 2152693.9258019747 -112061.77857085124, 2152600.039220816 -111721.03669185545, 2152541.6781816804 -111740.60779440516, 2152519.5266214325 -111400.70322771165, 2152883.622832011 -111405.4334156767, 2154414.95512117 -111537.72325271624, 2154701.9710472864 -111621.58646033371, 2154284.534312164 -113245.97768991799, 2154312.8780624443 -113286.25875853733, 2153313.2259451174 -113665.43478769953, 2153337.794640598 -113565.91814072449))",24.94493994530072,1.410460918478717,193.9172117176354,10.96465452103098,81-90
1,Alley Park,61,547,2.770031536247154,"POLYGON ((2165353.0774971363 -120844.320249833, 2165249.6011148654 -120765.31510098797, 2165192.914011347 -120707.31715899862, 2164973.5730707594 -120368.46269028969, 2164895.717573591 -120265.40960871623, 2164831.3719756147 -120196.94406744526, 2164865.116459016 -120157.11670628117, 2164881.7950589415 -120174.03361728071, 2164896.4536018847 -120176.21300607789, 2164912.8925476843 -120214.55831661406, 2164945.0249728695 -120225.08479598205, 2164959.6726605003 -120243.87157287911, 2165022.7018566323 -120258.22434666903, 2165042.0598315904 -120316.93436754213, 2165067.1954718507 -120335.74686830823, 2165139.243085318 -120356.54966365844, 2165148.8377854163 -120342.64424213192, 2165148.848580731 -120326.03665796513, 2165160.0169629133 -120319.90315307569, 2165169.5900692865 -120339.21287236652, 2165207.2557183006 -120339.57290499935, 2165215.9303682116 -120353.25521852227, 2165227.436404221 -120348.19388230433, 2165262.7227967745 -120365.95904276616, 2165318.6685033306 -120349.48744725744, 2165416.07728406 -120392.58177899392, 2165443.5827758783 -120410.59515506738, 2165461.722435969 -120437.69335482847, 2165496.0019089542 -120443.93673636595, 2165525.683843945 -120407.84598301743, 2165497.502807012 -120387.68836758928, 2165500.2194145718 -120371.35503806914, 2165460.0806005173 -120357.59737256088, 2165451.0678565935 -120342.843039158, 2165417.1367078745 -120321.06411684526, 2165376.2343652067 -120266.05286891026, 2165335.3168953923 -120235.95290953084, 2165323.275653999 -120194.94035843047, 2165321.2750971774 -120146.98768088469, 2165314.511845601 -120142.14971747814, 2165323.326228593 -120111.90235895396, 2165299.1088301884 -120065.50306427326, 2165295.5187252495 -120034.68994266866, 2165283.243653672 -120006.80226783759, 2165393.678407845 -119947.0677054507, 2165595.1045711394 -120106.93013779251, 2165629.4783712123 -120143.97747141436, 2165719.6421196484 -120036.50889464383, 2165740.964058142 -120021.02297620212, 2165851.4493574416 -120075.12394452927, 2165885.728278085 -120081.36512617438, 2165981.2227658946 -120123.91083517036, 2165998.807606125 -120138.14869091558, 2166043.7677259487 -120206.02362155094, 2166127.0654477375 -120284.7016614321, 2166151.098734769 -120261.18454823477, 2166201.0471736225 -120281.12164980733, 2166195.49403593 -120332.80770114917, 2166164.700970377 -120343.18383018297, 2166182.8343811976 -120386.88826270825, 2166419.7236039937 -120700.83795584248, 2166449.938800284 -120719.12172903861, 2166452.294036359 -120743.23553682596, 2166535.9748928514 -120748.24623163862, 2166546.5686870907 -120762.46732345536, 2166559.0660388037 -120802.14058633942, 2166625.239709769 -120856.93523620136, 2166777.7503383686 -121016.66032730365, 2166954.217636769 -121097.14459438146, 2166936.8320226944 -121127.9120667323, 2166871.4869396673 -121203.30888412117, 2166848.3259110106 -121273.97675916135, 2166851.7609981108 -121381.93826295044, 2166915.887322431 -121471.81861094078, 2166928.607816151 -121514.97480977084, 2166976.8793520886 -121521.24232498319, 2167069.5742865414 -121557.60901686172, 2167281.742384193 -121754.15673199118, 2167406.339883204 -121830.77016663068, 2167522.5034814 -121863.96711493284, 2167557.0099396002 -121881.988316194, 2167581.1357731866 -121905.880789255, 2167624.525887076 -121974.28215372344, 2167650.879326665 -122049.61242988869, 2167760.1533228112 -122105.29349161951, 2167925.2605198654 -122171.80407825735, 2167786.8261572355 -122411.80733287007, 2167568.0169455986 -122715.66060625555, 2167519.4442337863 -122813.87006716098, 2167486.529643944 -122942.38362265751, 2167424.9369482766 -122938.23280045233, 2167373.4866805184 -122949.64060728428, 2167245.286114814 -123014.1894748439, 2167185.9784863736 -122970.12688708787, 2167112.9891496026 -122813.25552144034, 2167100.586383784 -122804.38811534656, 2166669.6736484 -123072.9121166604, 2166645.2001181967 -123064.55217419531, 2166565.778362693 -123067.58551821292, 2166541.190257251 -123061.63586828484, 2166322.2424160047 -122901.74290431658, 2166301.9553955197 -122878.9261410378, 2166491.237932339 -122747.5669898475, 2166656.6854378595 -122651.50787460021, 2166692.6805030266 -122638.19541891452, 2166880.7462789686 -122613.9730946589, 2166946.772102289 -122565.63388443684, 2166949.1589881917 -122539.92270533285, 2166722.5196704427 -122239.1236822232, 2166867.220087608 -122104.97271642002, 2166881.005597445 -122068.30407211046, 2166876.288551443 -122036.68396729825, 2166609.18547126 -121687.84558111681, 2166557.8639442152 -121688.53315259036, 2166522.5657074065 -121679.07746697945, 2166480.960564511 -121655.14200143672, 2166458.417876088 -121630.71404015554, 2166355.5357130114 -121481.54075978995, 2166392.9999710633 -121453.4997480252, 2166289.894774708 -121300.84339278749, 2166030.625379227 -121082.19502432451, 2165985.718476468 -121111.55588085607, 2165929.2647712952 -121032.13378551287, 2165825.852460865 -121017.15732443483, 2165811.181282449 -121031.58761339691, 2165789.205796827 -121175.38182412951, 2165729.8884786386 -121164.52609432857, 2165679.12626601 -121178.06644165609, 2165627.568498688 -121200.17630414342, 2165594.60770022 -121239.74194268453, 2165561.549642406 -121256.80611527505, 2165455.518710806 -121116.9904173448, 2165334.3125202474 -121067.67612025047, 2165245.3256422114 -120912.63135354106, 2165353.0774971363 -120844.320249833))",12.63523521014425,63.98537477148081,71.84033733767728,363.80255941499087,61-70
2,Annadale,48,10021,3.430403118999565,"POLYGON ((2138875.8304291717 -155622.66927559313, 2138460.506619207 -155510.21076911522, 2138459.448805877 -155515.29263929412, 2138311.125483312 -155468.44577207539, 2138306.2962399316 -155478.322463077, 2138144.5392760686 -155427.62750543916, 2138301.990031996 -155157.9356930188, 2138333.597012964 -155050.48003488177, 2138442.2546505914 -154574.46058048515, 2138532.6932606553 -154317.41766637805, 2138654.6646894664 -154539.7857632004, 2138742.542743947 -154722.54067671846, 2138757.039807027 -154735.4987949213, 2139058.827458615 -154791.96945722913, 2139062.3191327294 -154749.40418908666, 2139390.536476484 -154693.00648938335, 2139456.584172893 -155026.14218379318, 2139444.45854567 -155162.66789847918, 2139416.9746525898 -155294.80237837246, 2139554.251791804 -155336.99573544724, 2140115.6704935227 -155466.18257758493, 2140154.34826841 -155529.12495794133, 2140170.2479707547 -155566.4658708281, 2140159.793053121 -155572.28813094788, 2140180.057479559 -155601.08690981663, 2140345.5913372436 -155768.81818454835, 2141270.913334046 -156662.72524732683, 2141219.0306157186 -156698.81221828164, 2141167.558292295 -156770.2607581097, 2141113.2753126496 -156764.5426361347, 2141065.236161592 -156815.92260700508, 2141006.2230990133 -156911.16024259108, 2140954.99983035 -156949.39229781044, 2140915.7724480727 -157032.17101138792, 2140875.005077348 -157064.579007494, 2140769.9368319972 -157246.0290708734, 2140724.8004947538 -157286.9786551992, 2140702.8383954996 -157346.2990057293, 2140627.986386393 -157424.28250653567, 2140603.757329339 -157425.19087209474, 2140573.565532201 -157406.7721178016, 2140533.9094706634 -157397.3970977777, 2140466.198005207 -157444.62138207335, 2140412.2985617863 -157389.0753774032, 2140177.5128070815 -157189.7948864068, 2139966.4895013007 -156948.3470246517, 2139763.2596185715 -156607.3016820904, 2139525.230830873 -156317.9803698595, 2139359.4931155564 -156325.41017614643, 2139282.3310852586 -156395.8611366918, 2138904.883085829 -155889.9284367881, 2138819.888231516 -155832.81754945696, 2138875.8304291717 -155622.66927559313))",3.206620218794582,1.097694840834248,197.35289892035743,67.55812793134417,41-50
3,Arden Heights,43,10460,2.634693598433563,"POLYGON ((2136919.5597523595 -154780.30301818767, 2136916.9751370344 -154749.2138370598, 2136875.0858464385 -154738.1964723053, 2136785.87812768 -154687.19400348113, 2136727.9747906164 -154669.631187961, 2136789.508739905 -154613.8300192137, 2136886.435667489 -154502.5722328516, 2136995.258952302 -154330.59730660656, 2137160.1339823096 -153931.88908091688, 2137333.414939927 -153435.74059271734, 2137432.5427762643 -153476.35852013645, 2137576.79212637 -153504.43995389852, 2137644.0832478795 -153507.06164381347, 2137720.0206443006 -153636.9721187768, 2137763.139634723 -153575.4051645993, 2137887.50274675 -153496.46736624758, 2138085.8369118376 -153940.89259810402, 2138396.179564489 -153789.86276747056, 2138423.201507806 -153851.9258788108, 2138616.643842255 -153764.3502313498, 2138659.695598475 -153861.3452708251, 2138663.6206291816 -153910.92552568644, 2138630.1905660536 -154037.92306418842, 2138442.2546505914 -154574.46058048515, 2138333.597012964 -155050.48003488177, 2138301.990031996 -155157.9356930188, 2138114.0393148973 -155479.10809085483, 2137880.929939978 -155827.00689847238, 2137806.6862295982 -155972.19211489882, 2137428.8720215554 -155495.92257543502, 2137251.5513130035 -155238.58107843596, 2136929.885931861 -154805.28773258804, 2136919.5597523595 -154780.30301818767))",2.277304656437946,0.5736137667304015,115.76298670226224,29.15869980879541,41-50
4,Arrochar,63,550,0.262905636201538,"POLYGON ((2145888.614748232 -146706.8375592562, 2145890.347520806 -146681.4006514891, 2145874.2134826593 -146618.09207507805, 2145781.0719585833 -146441.83673757568, 2145876.4093928495 -146340.33240643202, 2145938.3070305926 -146311.49229567856, 2145959.9403640325 -146285.36643714752, 2145964.0504133436 -146259.13969187168, 2145958.1841468 -146082.31777154276, 2146289.7515685954 -146124.93179320448, 2146395.7522652177 -146308.75373964824, 2146445.6860908135 -146373.86067447244, 2145956.0283324965 -146817.05008658656, 2145931.514180792 -146794.40826248314, 2145915.0965117416 -146721.72280724003, 2145888.614748232 -146706.8375592562))",22.82187665007125,10.90909090909091,281.4698120175451,134.54545454545453,61-70
5,Astoria,94,153924,11.049137778990326,"POLYGON ((2150555.7290578056 -125767.83813462175, 2150516.1632912043 -125758.54517626617, 2150557.44387343 -125530.29369145122, 2150563.914083838 -125439.26707925428, 2150576.2002144195 -125442.27105122473, 2150583.913676227 -125388.74443754241, 2150592.8229285735 -125389.32209815143, 2150635.8145421417 -125228.03231378442, 2150715.6590700517 -125075.75327451245, 2150749.138626823 -125043.2369295802, 2150788.4630458187 -125057.34753000583, 2150821.675853057 -124959.750534348, 2150831.3985791546 -124951.76154455732, 2150856.1858776566 -124961.25087247728, 2150841.7919564983 -124945.91819015787, 2150849.2868747246 -124928.00961667245, 2150924.148145041 -124899.43484493638, 2150930.1584207905 -124887.94680179755, 2150932.7888643295 -124834.93170935975, 2150951.682456125 -124814.39792416815, 2150985.1627136837 -124820.98120497588, 2151014.7845385736 -124795.676412361, 2151035.90215605 -124745.96084920678, 2151048.0371836675 -124681.47374963955, 2151000.452173386 -124677.23570939308, 2150990.1157720997 -124540.87021115399, 2150752.2920784005 -124525.56759895169, 2150697.0611624056 -124432.64580776228, 2150668.844460049 -124359.13300045014, 2150654.419631638 -124273.90117899422, 2150689.0167569863 -124038.38918462099, 2150700.1703064726 -124001.48343814265, 2150723.0114220846 -123979.62972985023, 2150761.2851009266 -123881.52182959963, 2150830.312433102 -123837.11912303105, 2150935.2162986184 -123829.30451744272, 2150942.2530784 -123812.73284457477, 2151015.9085857435 -123808.25346180018, 2151089.3783527054 -123831.08924424576, 2151103.0575514217 -123860.8795542552, 2151146.360611894 -123904.4649133548, 2151229.4105080552 -123930.02163552717, 2151316.8928364706 -123858.11360517223, 2151343.456986436 -123792.35320528141, 2151448.0058086994 -123618.75225503209, 2151538.977083621 -123546.85676928086, 2151573.254173819 -123505.7691848055, 2151801.772835017 -123000.36696871971, 2151790.2012433964 -122982.90710753755, 2151799.34609266 -122978.66322684918, 2151840.773604766 -122871.18865143375, 2151896.4560242216 -122789.75546615527, 2151962.2068687947 -122740.504241125, 2151951.3295023507 -122669.48532621897, 2151957.6320843585 -122628.27038387577, 2152004.3846341586 -122507.16007348485, 2152016.708655236 -122493.55657728751, 2152034.640996329 -122492.29738731649, 2152045.4049778515 -122470.92033156885, 2152014.201699357 -122457.65859506883, 2152069.541433617 -122280.34559703308, 2152152.146761053 -122061.91003885248, 2152189.0946820616 -122029.40054138943, 2152204.832887751 -122001.61772727492, 2152221.382369651 -122012.67110745027, 2152257.3030573386 -121985.24506633605, 2152243.417931357 -121943.67303821376, 2152313.7129869084 -121825.34234145308, 2152580.2084926963 -121801.3351518495, 2152609.496103321 -121814.04995308665, 2152883.5368247074 -121794.61617548663, 2152944.2211914863 -121784.9685649307, 2152948.978948652 -121775.07992604886, 2152979.5480692466 -121769.58732090484, 2152982.2351696934 -121778.16892395867, 2152997.224485579 -121781.44711343898, 2153133.7820110116 -121777.21178442304, 2153208.3204230797 -121825.73684018689, 2153451.0699471436 -121937.6439953759, 2153479.923902254 -121943.39017667696, 2153530.9044955284 -121989.13440315412, 2153542.8891011253 -121974.45501823221, 2153596.911736485 -122021.55075438079, 2153584.92706156 -122036.23024812696, 2153617.004849181 -122063.41491442264, 2153562.082865193 -122169.50722087978, 2153576.3830443793 -122178.94116408842, 2153559.385588611 -122216.63181908819, 2153652.378133215 -122285.04951647249, 2153767.2893530806 -122128.05436744218, 2154047.4094241587 -122278.39729361478, 2154013.7346322336 -122363.15663488637, 2154044.0344229895 -122379.08386493295, 2154036.3349717315 -122393.51423244871, 2154088.2634365153 -122419.97607212601, 2154106.81427824 -122445.76376428368, 2154064.2938851505 -122552.44822511142, 2154071.821292054 -122565.33489174354, 2154067.3811573824 -122584.59962113528, 2154111.9733518925 -122562.55531920721, 2154135.8721529366 -122566.40379130087, 2154157.782776044 -122602.91824293732, 2154189.5271828286 -122629.02824138427, 2154202.2124041505 -122655.59506542329, 2154140.284056259 -122817.37151626757, 2154189.744443395 -122838.73425386783, 2154217.085087886 -122867.50434982317, 2154255.0683819195 -122877.3028392863, 2154294.08684365 -122723.19751922891, 2154301.3327580374 -122710.10402563182, 2154317.2323266375 -122710.70511125847, 2154331.9975662273 -122766.20526686062, 2154418.017190397 -122881.99065973029, 2154435.4065541085 -122923.5747375126, 2154451.9404812846 -123149.15097492225, 2154477.0036097337 -123137.20159733237, 2154508.5682676067 -123143.22302898967, 2154730.132360168 -123624.87599825775, 2154752.572253011 -123626.84204682706, 2154768.3370105154 -123638.15489077271, 2154874.400344066 -123820.70860620073, 2154690.626130673 -123939.14551769359, 2154587.871449983 -123990.14859572538, 2154488.432711774 -124021.07647215531, 2153515.913421702 -124138.06406873079, 2153656.8469046648 -124345.69154022046, 2153425.4611218204 -125349.85714166492, 2153340.042078529 -125662.84836134264, 2153347.7073067995 -125665.0240237867, 2153283.2453953195 -125939.00220947436, 2153047.5080526685 -125966.90422303177, 2152954.912850287 -126000.24619406849, 2152887.348477522 -126038.24965015093, 2152631.2201671693 -126218.70813636867, 2151203.40806428 -125857.10730289076, 2150555.7290578056 -125767.83813462175))",28.23749746276679,2.026974350978405,511.4426223144074,36.71292326083002,91-100
6,Auburndale,80,31417,4.701414701154508,"POLYGON ((2162714.175812238 -120084.1787144233, 2162797.292616306 -120320.6587994415, 2162839.27210361 -120409.70400474561, 2162895.9016312384 -120509.2364425205, 2162962.9116433016 -120602.90480364092, 2163729.350400359 -121548.66787352964, 2163777.889922548 -121622.46024152174, 2164153.521079869 -122275.17265749811, 2164217.1516821072 -122374.7185984172, 2164815.2172526275 -123170.7683156784, 2164722.407006489 -123250.62458221179, 2164169.398385481 -123575.44805203371, 2163296.708052014 -124275.69111076626, 2162955.8626341713 -122974.51142964406, 2162532.579986026 -121989.18563326569, 2162506.842221851 -121910.09360432948, 2162317.116766853 -121012.23001612356, 2162002.760148994 -120753.90883468781, 2161937.2802253813 -120717.82452182707, 2162079.682948731 -120631.99342894317, 2162183.3257992156 -120511.76164112287, 2162239.4226581487 -120459.69296168502, 2162452.9292875095 -120300.13089894176, 2162714.175812238 -120084.1787144233))",29.14016497339779,4.360696438234077,246.09613776803818,36.827195467422094,71-80
7,Bath Beach,89,33061,1.985246468637407,"POLYGON ((2150118.723566235 -144364.0321477558, 2149973.7219444728 -144314.0020252766, 2150222.1446000603 -143633.26658056866, 2152000.576970058 -144320.06330646356, 2151616.4750023354 -145371.77841787672, 2151479.6308108573 -145246.8095114012, 2151248.665370575 -145111.72986848775, 2150832.2610725183 -144940.08975733686, 2150683.282857827 -144891.39216409848, 2150536.34830468 -144863.32835982885, 2150373.726172175 -144852.32598311757, 2150152.401223042 -144869.14712359945, 2150081.9749960285 -144890.21710940628, 2150043.2964069825 -144914.93141951656, 2149971.7477945453 -144912.6893305344, 2149919.31144719 -144887.50760125185, 2149938.7780896337 -144753.13487745586, 2149966.071417876 -144700.23598205668, 2150016.269612097 -144633.79277997464, 2150118.723566235 -144364.0321477558))",20.65234752848635,1.240131877438674,239.76871764779273,14.397628625873386,81-90
8,Battery Park City,97,12258,0.463164221458554,"POLYGON ((2146489.415832104 -133601.45397082737, 2146471.373198442 -133596.80231267528, 2146428.543958521 -133240.36420598906, 2146360.682061804 -132848.43857686757, 2146304.201241945 -132857.7706872202, 2146293.6170100654 -132798.5244640354, 2146351.803077089 -132786.25571163802, 2146287.7262433935 -132403.7268134169, 2146427.79420227 -132379.5853926016, 2146432.0311636203 -132365.14628259087, 2146624.039343705 -132336.73080459883, 2146674.8948694593 -132780.5175856463, 2146694.134843587 -133089.15284681047, 2146722.26786627 -133269.28246033867, 2146731.883925306 -133370.30404373267, 2146736.809655108 -133669.49020359066, 2146747.4660801627 -133894.52099303805, 2146739.0019077226 -133945.8974578944, 2146712.4426316344 -133978.4277318256, 2146711.7536092475 -134007.0813035712, 2146679.2175541255 -134011.99289038268, 2146677.7791621326 -133979.3103731717, 2146634.882304003 -134004.25221072853, 2146607.660860822 -133981.33862140236, 2146694.456144602 -133934.67434855542, 2146693.61344065 -133920.74285559668, 2146639.056308776 -133953.12038061052, 2146579.103457146 -133954.1324588861, 2146499.1887579774 -133820.85490787085, 2146486.537913256 -133718.4770460773, 2146498.8662946518 -133713.18799260003, 2146508.4350944073 -133693.42135732944, 2146533.636461441 -133687.39911092346, 2146532.078889403 -133603.82966570006, 2146489.415832104 -133601.45397082737))",30.2268598293549,1.142111274269864,997.4863743687115,37.68967205090553,91-100
9,Bay Ridge,94,79177,5.350905902847991,"POLYGON ((2147358.2233491107 -141477.68530831794, 2147182.250391846 -141462.79261543465, 2147183.587040472 -141444.58607127357, 2147358.1003560354 -141457.59572924362, 2147373.248206901 -141345.98426532577, 2147393.4375503096 -141264.66760361436, 2147288.735328083 -141211.86429941023, 2147281.188208992 -141207.26952102373, 2147276.644487297 -141189.83433824984, 2147384.243368403 -140894.71521837907, 2147376.2375687608 -140891.4573466042, 2147397.5468168757 -140833.450031905, 2147516.967069376 -140880.17026325778, 2147527.850637471 -140850.49794177565, 2147551.075993276 -140860.53454248162, 2147548.1987132677 -140870.96511223493, 2147783.1241209023 -140957.4134173344, 2147890.3311645454 -141029.50771734567, 2148154.953519793 -141076.4615499695, 2148179.1364464913 -141008.01997443492, 2148611.986941665 -141174.2443155437, 2148620.5326405354 -141137.05731569327, 2148716.072283333 -141194.0783044857, 2148915.700106125 -141270.92926444608, 2149048.8578864047 -141330.82140701858, 2149106.6189411264 -141373.176178258, 2149134.14552203 -141405.4625509893, 2149180.06813907 -141488.47000176, 2149207.3539453624 -141615.57759433382, 2149234.9997280496 -142328.76965394377, 2149231.9138967097 -142515.72223487028, 2149198.0011041868 -142718.85428750078, 2148801.989651165 -144199.40945879678, 2148748.273458623 -144310.82527048574, 2148679.8776845853 -144397.5187547563, 2148406.7277614656 -144638.74740764903, 2148378.0799529813 -144605.64611695017, 2148324.296509741 -144516.96142758388, 2148285.4331586347 -144470.6795766624, 2148238.850590213 -144430.51692717161, 2148027.906101737 -144286.3382560886, 2147923.4478562246 -144183.71599237673, 2147873.5788780698 -144124.51530221823, 2147840.977819356 -144070.22982916166, 2147627.7655935227 -143634.32883455185, 2147589.868783582 -143577.06755113933, 2147567.704859223 -143494.44558713512, 2147518.896215256 -143385.1598225598, 2147491.272179733 -143287.77585522688, 2147453.13059348 -143212.8344037094, 2147360.655058407 -142791.25567784216, 2147327.841445817 -142584.2907955086, 2147312.63104611 -142532.51118798828, 2147321.778889841 -142469.07973380203, 2147323.054736933 -142354.98053625048, 2147312.086193124 -142356.25961518157, 2147312.463058167 -142349.02960689325, 2147322.9725633934 -142349.08728105866, 2147358.2233491107 -141477.68530831794))",27.09821526161103,1.8313399093171,153.24507941048998,10.356542935448426,91-100
